Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
1,James Abankwah,ie IRL,Dif.Cen,Udinese,21-034,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1
2,Saud Abdulhamid,sa KSA,Dif,Roma,25-216,1999,3,1,142,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1
3,Oliver Abildgaard,dk DEN,Cen,Como,28-254,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4,Tammy Abraham,eng ENG,Att,Roma,27-140,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5,Tammy Abraham,eng ENG,Att,Milan,27-140,1997,19,9,882,9.8,2,2,4,1,1,2,0,0,6.1,4.4,1.2,5.6
6,Federico Accornero,it ITA,Cen,Genoa,21-014,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7,Francesco Acerbi,it ITA,Dif,Inter,37-009,1988,11,11,850,9.4,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5
8,Che Adams,sct SCO,Att,Torino,28-221,1996,24,19,1.666,18.5,7,3,10,7,0,0,1,0,4.8,4.8,1.8,6.6
9,Yacine Adli,fr FRA,Cen,Fiorentina,24-205,2000,20,14,1.120,12.4,3,4,7,3,0,0,3,1,0.5,0.5,2.2,2.6
10,Vasilije Adžić,me MNE,Cen.Att,Juventus,18-283,2006,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11,Michel Aebischer,ch SUI,Cen,Bologna,28-044,1997,8,5,382,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4
12,Honest Ahanor,it ITA,Dif,Genoa,16-362,2008,2,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
13,Junior Ajayi,ci CIV,Att,Hellas Verona,20-131,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
14,Jean-Daniel Akpa-Akpro,ci CIV,Cen.Dif,Monza,32-131,1992,4,3,228,2.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1
